Total method loc: 10188
Total method aloc: 13870.30
Code compression rate: 26.55%
==============================
method	sloc	dloc	ncalls
com/android/deskclock/stopwatch/StopwatchFragment$ImageLabelAdapter.getShowAllAdapter:()Lcom/android/deskclock/stopwatch/StopwatchFragment$ImageLabelAdapter	1	1.00	1
com/android/deskclock/stopwatch/StopwatchFragment$ImageLabelAdapter.getClassName:(I;)Ljava/lang/String	1	1.00	1
com/android/deskclock/stopwatch/StopwatchFragment$ImageLabelAdapter.getPackageName:(I;)Ljava/lang/String	1	1.00	1
com/android/deskclock/stopwatch/StopwatchFragment$Lap.<init>:(J;J;)V	2	2.00	4
com/android/deskclock/stopwatch/StopwatchFragment$Lap.updateView:()V	3	2.50	1
com/android/deskclock/stopwatch/StopwatchFragment$LapsListAdapter.<init>:(Landroid/content/Context;)V	5	5.00	1
com/android/deskclock/stopwatch/StopwatchFragment$LapsListAdapter.getView:(I;Landroid/view/View;Landroid/view/ViewGroup;)Landroid/view/View	14	12.00	1
com/android/deskclock/stopwatch/StopwatchFragment$LapsListAdapter.updateTimeFormats:(Lcom/android/deskclock/stopwatch/StopwatchFragment$Lap;)Z	8	6.00	3
com/android/deskclock/stopwatch/StopwatchFragment$LapsListAdapter.getItem:(I;)Lcom/android/deskclock/stopwatch/StopwatchFragment$Lap	3	2.50	6
com/android/deskclock/stopwatch/StopwatchFragment$LapsListAdapter.getCount:()I	1	1.00	7
com/android/deskclock/stopwatch/StopwatchFragment$LapsListAdapter.getItemId:(I;)J	1	1.00	1
com/android/deskclock/stopwatch/StopwatchFragment$LapsListAdapter.getLapTimes:()[J	7	6.00	3
com/android/deskclock/stopwatch/StopwatchFragment$LapsListAdapter.addLap:(Lcom/android/deskclock/stopwatch/StopwatchFragment$Lap;)V	1	1.00	3
com/android/deskclock/stopwatch/StopwatchFragment$LapsListAdapter.clearLaps:()V	4	4.00	1
com/android/deskclock/stopwatch/StopwatchFragment$LapsListAdapter.resetTimeFormats:()V	1	1.00	1
com/android/deskclock/stopwatch/StopwatchFragment$LapsListAdapter.setLapTimes:([J;)V	14	11.50	1
com/android/deskclock/stopwatch/StopwatchFragment$LapsListAdapter.setTimeText:(Landroid/view/View;Lcom/android/deskclock/stopwatch/StopwatchFragment$Lap;)V	4	4.00	2
com/android/deskclock/stopwatch/StopwatchFragment$LapsListAdapter.updateLapFormat:()V	1	1.00	4
com/android/deskclock/stopwatch/StopwatchFragment$.run:()V	7	6.00	1
com/android/deskclock/stopwatch/StopwatchFragment.<init>:()V	0	0.00	1
com/android/deskclock/stopwatch/StopwatchFragment.getShareIntent:()Landroid/content/Intent	6	6.00	2
com/android/deskclock/stopwatch/StopwatchFragment.onCreateView:(Landroid/view/LayoutInflater;Landroid/view/ViewGroup;Landroid/os/Bundle;)Landroid/view/View	93	93.00	1
com/android/deskclock/stopwatch/StopwatchFragment$.onClick:(Landroid/view/View;)V	21	15.00	1
com/android/deskclock/stopwatch/StopwatchFragment$.onClick:(Landroid/view/View;)V	1	1.00	1
com/android/deskclock/stopwatch/StopwatchFragment$.run:()V	1	1.00	1
com/android/deskclock/stopwatch/StopwatchFragment$.endTransition:(Landroid/animation/LayoutTransition;Landroid/view/ViewGroup;Landroid/view/View;I;)V	10	3.56	1
com/android/deskclock/stopwatch/StopwatchFragment$.startTransition:(Landroid/animation/LayoutTransition;Landroid/view/ViewGroup;Landroid/view/View;I;)V	20	4.38	1
com/android/deskclock/stopwatch/StopwatchFragment.reachedMaxLaps:()Z	1	1.00	2
com/android/deskclock/stopwatch/StopwatchFragment.getLapShareTimes:([J;)[J	11	8.50	1
com/android/deskclock/stopwatch/StopwatchFragment.acquireWakeLock:()V	5	3.50	3
com/android/deskclock/stopwatch/StopwatchFragment.addLapTime:(J;)V	19	13.00	1
com/android/deskclock/stopwatch/StopwatchFragment.doLap:()V	4	3.50	1
com/android/deskclock/stopwatch/StopwatchFragment.doReset:()V	14	13.50	2
com/android/deskclock/stopwatch/StopwatchFragment.doStart:(J;)V	9	8.00	2
com/android/deskclock/stopwatch/StopwatchFragment.doStop:()V	9	8.50	2
com/android/deskclock/stopwatch/StopwatchFragment.onPageChanged:(I;)V	4	3.00	2
com/android/deskclock/stopwatch/StopwatchFragment.onPause:()V	16	14.00	1
com/android/deskclock/stopwatch/StopwatchFragment.onResume:()V	18	16.00	1
com/android/deskclock/stopwatch/StopwatchFragment.onSharedPreferenceChanged:(Landroid/content/SharedPreferences;Ljava/lang/String;)V	5	2.13	1
com/android/deskclock/stopwatch/StopwatchFragment.onStart:()V	11	8.00	1
com/android/deskclock/stopwatch/StopwatchFragment.readFromSharedPref:(Landroid/content/SharedPreferences;)V	22	10.75	2
